movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,audience_count,review_content,cleaned_content,keywords,combined_keywords
The Spiderwick Chronicles,"Of the three Grace children, Jared (Freddie Highmore) has always been thought of as the troublemaker. So when strange things happen after his family's move to a relative's dilapidated estate, sister Mallory (Sarah Bolger), twin brother Simon and their mother assume that Jared is behind it all. However, magical creatures roam the grounds, and they all want a special book that Jared has found: a field guide to fantastic creatures, penned by Arthur Spiderwick.","The Spiderwick Chronicles is an entertaining children's adventure, with heart and imagination to spare.",PG,"Action & Adventure, Drama, Science Fiction & Fantasy",Mark Waters (VIII),"John Sayles, Karey Kirkpatrick, David Berenbaum","Freddie Highmore, Mary-Louise Parker, Sarah Bolger, Andrew McCarthy, Joan Plowright, David Strathairn, Jordy Benattar, Tod Fennell, Mariah Inger, Jeremy Lavalley, Izabella Miko, Seth Rogen, Nick Nolte, Martin Short",355118.0,"There's enough here to keep adults engaged, which is an important component of any motion picture that wants to be known as 'family entertainment.' I would place The Spiderwick Chronicles comfortably in that category.",there s enough here to keep adults engaged which is an important component of any motion picture that wants to be known as family entertainment i would place the spiderwick chronicles comfortably in that category ,adults engaged spiderwick chronicles comfortably family entertainment motion picture important,"adults engaged spiderwick chronicles comfortably family entertainment motion picture important Action & Adventure, Drama, Science Fiction & Fantasy"
Step Up 2 the Streets,"When rebellious street dancer Andie (Briana Evigan) enrolls at the prestigious Maryland School of the Arts, she finds it difficult to adapt. Joining forces with Chase (Robert Hoffman), the hottest dancer at the school, she finds a way to merge her old life and the new by forming a team of misfit classmates and training with them to compete in an underground dance contest known as The Streets.","There's a kinetic appeal to the handsome cast and their smooth moves, but everything else about Step Up 2 the Streets is been there, danced that.",PG-13,"Drama, Romance",Jon M. Chu,"Karen Barna, Toni Ann Johnson","Briana Evigan, Robert Hoffman (X), Adam G. Sevani, Will Kemp, Cassie Ventura, Danielle Polanco, Christopher Scott, Mari Koda, Janelle Cambridge, Luis Rosado, Harry Shum Jr., Sonja Sohn, LaJon Dantzler, Telisha Shaw, Luis A. Rosado, Black Thomas, Kejamel Howell, Jeff Ogle, Donnie Crumbs Counts, Ebone Johnson, Rynan Paguio, James Colter, Alison Faulk, Shorty Welch, Troy Kirby, Jeffery Machine McCann, Channing Tatum, J-Boog",190910.0,"A brainless piece of product that is so utterly devoid of anything not concerned with the idea of separating 12-year-olds from their allowance that it makes the Hannah Montana infomercial/movie seem like ""There Will Be Blood"" by comparison",a brainless piece of product that is so utterly devoid of anything not concerned with the idea of separating 12 year olds from their allowance that it makes the hannah montana infomercial movie seem like there will be blood by comparison,brainless piece year olds utterly devoid separating hannah montana infomercial,"brainless piece year olds utterly devoid separating hannah montana infomercial Drama, Romance"
Straight Outta Compton,"In 1988, a groundbreaking new group revolutionizes music and pop culture, changing and influencing hip-hop forever. N.W.A's first studio album, ""Straight Outta Compton,"" stirs controversy with its brutally honest depiction of life in Southern Los Angeles. With guidance from veteran manager Jerry Heller, band members Ice Cube (O'Shea Jackson Jr.), Dr. Dre (Corey Hawkins), Eazy-E, DJ Yella and MC Ren navigate their way through the industry, acquiring fame, fortune and a place in history.","Straight Outta Compton is a biopic that's built to last, thanks to F. Gary Gray's confident direction and engaging performances from a solid cast.",R,"Drama, Musical & Performing Arts",F. Gary Gray,"Jonathan Herman, Andrea Berloff","O'Shea Jackson, Jr., Corey Hawkins, Jason Mitchell, Aldis Hodge, Neil Brown, Jr., Paul Giamatti, Carra Patterson, Elena Goode, Alexandra Shipp, Keith Powers, Marlon Yates, Jr., R. Marcos Taylor, Joshua Brockington, Sheldon Smith, LaKeith Stanfield, Cleavon McClendon, Aeriel Miranda, Lisa Renee Pitts, Angela Gibbs, Bruce Beatty, Rogelio Douglas, Jr., Corey Reynolds, Tate Ellington, F. Gary Gray, Allen Maldonado, Demetrius Grosse, Marcc Rose, Andrew Borba, Mark Sherman, Matt Corboy, Larry Sullivan, Russell Andrews, Deborah Lacey, Michael ""Compton Menace"" Taylor, Ashton Sanders, Joshua Geter, Kofi Siriboe, Orlando Brown, Matthew Boylan, Chic Daniel, Tim Connolly, Cris D'Annunzio, Dan Wells, Justin Goslee, Al Wexo, Marcus Callender, Vaughn Wilkinson, Dean Cameron, Mark Thomas Holguin, Sky Soleil, Inny Clemons, Jody Burks, Asia'h Epperson, Scott Endicott, Greg Collins, Rob Brownstein, Water L, Nigel Lawes, William LaDawn English, Lazarus Guidry, Ariel Rogers, Lafrazia D. Knighten, Ashley Stepteau, Christian Brown, Ebony Randall, John Prosky, Derrick McMillon, Le Sean Tarkington, Rob Nagle, Travis Nicholson, Todd Quillen, Matthew Downs, Leo Stallworth, Joy Benedict, David L. Cox, Thomas Q. Jones, Toni Duclottni, Phedra Syndelle, Valerie Emanuel, Spencer Melville, Michael W. Broomer, Zee James, Natasha Hopkins, Simon Rhee",110.0,"The story of the rise and subsequent implosion of one of the most influential bands in US rap history gets a sweeping, epic, but somewhat partisan treatment in F Gary Gray's explosive drama Straight Outta Compton.",the story of the rise and subsequent implosion of one of the most influential bands in us rap history gets a sweeping epic but somewhat partisan treatment in f gary gray s explosive drama straight outta compton ,subsequent implosion influential bands f gary gray somewhat partisan treatment,"subsequent implosion influential bands f gary gray somewhat partisan treatment Drama, Musical & Performing Arts"
Stranded,"Astronauts (Christian Slater, Brendan Fehr) come under attack by dangerous alien spores after a meteor collides with their moon base.",,NR,"Art House & International, Drama, Horror, Science Fiction & Fantasy",,,Kevin James,1287.0,"Sometimes an earnest, easily forgettable B-movie is just what you're looking for. But rarely do you feel like spending 12 bucks to see it - especially when that appears also to be the film's entire budget.",sometimes an earnest easily forgettable b movie is just what you re looking for but rarely do you feel like spending 12 bucks to see it especially when that appears also to be the film s entire budget ,earnest easily forgettable b movie budget like spending bucks,"earnest easily forgettable b movie budget like spending bucks Art House & International, Drama, Horror, Science Fiction & Fantasy"
Sweetwater,A frontier widow (January Jones) seeks revenge on the religious fanatic (Jason Isaacs) who murdered her husband.,,R,"Drama, Western","Logan Miller (II), Noah Miller","Logan Miller (II), Noah Miller","Ed Harris, January Jones, Jason Isaacs, Eduardo Noriega, Jason Aldean, Stephen Root, Luce Rains, Amy Madigan, Vic Browder, Dylan Kenin, Keith Meriweather, Logan Miller (II), Noah Miller, J.B. Tuttle, Chad Brummett, Kevin Wiggins, Kathy Lamkin, Ralph Alderman, David Manzanares, Mia Stallard, Jiji Hise, Jenny Gabrielle, Tucker Moore, Paul Harris, Alexandra Kalinowski, Robert Harvey, Laurence Chavez",437.0,"It's not particularly congruent, but thanks to two terrific performances and director Logan Miller's determination to make his own kind of music, Sweetwater packs one hell of a punch.",it s not particularly congruent but thanks to two terrific performances and director logan miller s determination to make his own kind of music sweetwater packs one hell of a punch ,particularly congruent terrific performances director logan miller music sweetwater packs,"particularly congruent terrific performances director logan miller music sweetwater packs Drama, Western"
Temptation,A man enters into an unholy affair.,,PG-13,"Drama, Mystery & Suspense",Tyler Perry,Tyler Perry,"Jurnee Smollett-Bell, Lance Gross, Kim Kardashian West, Vanessa L. Williams, Robbie Jones, Renée Taylor, Ella Joyce, Brandy Norwood, Jim Adams, Alvin Aki, Renee Ford Clark, Candice Coke, Stephanie Marie Douglas, Timothy Scott Floyd, Jack Brandon Frazier, Howard French, Sid Baxley, Ryan Johns, Blanche Leigh Johnson, Bethany Hurst Jones, Doreen Ketchens, Bryson Lofton, Ronald Lynch, Sheila Maddox, Cara Mantella, Andrea Moore, Shamea Morton, Nadine A. O'Brien, Shaeleigh Person, Andy Rusk, Zach Sale, Ronn Bobb-Semple, Demontrez Spears, Peg Thon",35771.0,"Not even the stunt casting of reality star Kim Kardashian can improve this bloated, soulless and unexciting novella.",not even the stunt casting of reality star kim kardashian can improve this bloated soulless and unexciting novella ,stunt casting reality star kim kardashian novella bloated soulless,"stunt casting reality star kim kardashian novella bloated soulless Drama, Mystery & Suspense"
Tetro,"When teenage Bennie (Alden Ehrenreich) arrives in Argentina to look for his long-estranged brother, Tetro (Vincent Gallo), he finds not the idolized sibling from his youth, but a tormented and self-destructive soul who has abandoned his brilliant career as a writer. After Tetro rejects him, Bennie risks his brother's wrath by secretly completing one of his plays and submitting it for consideration for a prestigious literary prize.","A complex meditation on family dynamics, Tetro's arresting visuals and emotional core compensate for its uneven narrative.",R,"Drama, Mystery & Suspense",Francis Ford Coppola,Francis Ford Coppola,"Vincent Gallo, Alden Ehrenreich, Carmen Maura, Klaus Maria Brandauer, Maribel Verdu, Rodrigo De la Serna, Erica Rivas, Adriana Mastrangelo, Leticia Brédice, Sofía Gala Castiglione, Francesca De Sapio, Ximena Maria Iácono, Lucas Di Conza, Mike Amigorena, Silvia Pérez, Susana Giménez, Pochi Ducasse",11727.0,Francis Ford Coppola makes a superb return to form with this intriguing and poetic journey into a troubled sibling relationship and the tortured psyche of an artistic genius.,francis ford coppola makes a superb return to form with this intriguing and poetic journey into a troubled sibling relationship and the tortured psyche of an artistic genius ,francis ford coppola makes tortured psyche genius poetic journey,"francis ford coppola makes tortured psyche genius poetic journey Drama, Mystery & Suspense"
The Eagle,"Under the command of Flavius Aquila in A.D. 120, Rome's Ninth Legion marches north carrying its revered eagle emblem and vanishing into the mists. Rumors of the legion's golden eagle appearing in a tribal temple reach Marcus Aquila (Channing Tatum), Flavius' son, 20 years later. Accompanied by his slave (Jamie Bell), Marcus makes a dangerous journey to Scotland to retrieve the hallowed eagle and, in doing so, to restore his father's tarnished honor.","The Eagle has a pleasantly traditional action-adventure appeal, but it's drowned out by Kevin Macdonald's stolid direction and Channing Tatum's uninspired work in the central role.",PG-13,"Action & Adventure, Classics, Drama",Kevin Macdonald,Jeremy Brock,"Channing Tatum, Jamie Bell, Mark Strong (II), Tahar Rahim, Donald Sutherland, Bence Gerö, Denis O'Hare, Paul Ritter, Zsolt László, Julian Lewis Jones, Aladár Laklóth, Istvan Goz, Marcell Miklós, Bálint Magyar, Ferenc Pataki, Bálint Antal, Lukacs Bicskey, Douglas Henshall, James Hayes, András Faragó, Simon Paisley Day, Dakin Matthews, Pip Carter, Ben O'Brien, Róbert Bánlaki, Brian Gleeson, Jon Campling, Thomas Henry, Ned Dennehy, Ralph Aiken, Granville Saxton, Walter Van Dyke",42605.0,"Tatum has the strong-jawed good looks and stoic demeanor of a natural-born movie star. What he lacks is a sense of inner life, a spark of internal fire: When the camera trains on him, you can practically hear the wind whistling through his head.",tatum has the strong jawed good looks and stoic demeanor of a natural born movie star what he lacks is a sense of inner life a spark of internal fire when the camera trains on him you can practically hear the wind whistling through his head ,strong jawed good looks stoic demeanor born movie camera trains,"strong jawed good looks stoic demeanor born movie camera trains Action & Adventure, Classics, Drama"
The Company You Keep,"Decades after an ill-fated robbery, a former member (Susan Sarandon) of the Weather Underground turns herself in to authorities. While covering the story, reporter Ben Shepard (Shia LaBeouf) discovers that recently widowed lawyer Jim Grant (Robert Redford) was also a member of that particular group. Grant slips by the FBI agents tracking him and goes on the run, hoping to track down his former lover, Mimi (Julie Christie), who's still underground and fighting for the cause.",The Company You Keep is a (frustratingly) slow-burning thriller about very contemporary issues.,R,Mystery & Suspense,Robert Redford,"Robert Redford, Lem Dobbs","Robert Redford, Shia LaBeouf, Julie Christie, Susan Sarandon, Nick Nolte, Chris Cooper, Terrence Howard, Stanley Tucci, Richard Jenkins, Anna Kendrick, Brendan Gleeson, Brit Marling, Sam Elliott, Jackie Evancho, Stephen Root",13533.0,An exciting chase thriller with unusual emotional depth - in part thanks to Cliff Martinez' mournful score - The Company You Keep proffers interesting commentary on the sacrifices men will make for women they love.,an exciting chase thriller with unusual emotional depth in part thanks to cliff martinez mournful score the company you keep proffers interesting commentary on the sacrifices men will make for women they love ,exciting chase thriller unusual emotional depth proffers interesting sacrifices men,exciting chase thriller unusual emotional depth proffers interesting sacrifices men Mystery & Suspense
The Escape,"Tara is a housewife in suburban London who's raising two young children while married to an overworked, self-absorbed husband. In desperate need of a change, Tara makes the bold decision to leave everything behind and buy a one-way ticket to Paris. Her newfound freedom and journey of self-discovery soon gives way to the realization that walking out on your life isn't so simple.",The Escape probes gender mores while surveying the wreckage of a marriage -- and offering the underrated Gemma Arterton another opportunity to prove her dramatic mettle.,NR,"Art House & International, Drama",Dominic Savage,Dominic Savage,"Gemma Arterton, Dominic Cooper, Frances Barber, Jalil Lespert, Marthe Keller",423.0,"Arterton gives a typically nuanced and sensitive performance as the wife and mother too ashamed to admit that, no, she doesn't love her kids and that she simply no longer finds family life appealing.",arterton gives a typically nuanced and sensitive performance as the wife and mother too ashamed to admit that no she doesn t love her kids and that she simply no longer finds family life appealing ,arterton gives typically nuanced longer finds family life sensitive performance,"arterton gives typically nuanced longer finds family life sensitive performance Art House & International, Drama"
The Eyes of My Mother,"Francisca (Kika Magalhaes) has been unfazed by death from an early age because her mother, formerly a surgeon in Portugal, imbued her with a thorough understanding of the human anatomy. When tragedy shatters her family's idyllic life in the countryside, her deep trauma gradually awakens some unique curiosities. As she grows up, her desire to connect with the world around her takes a distinctly dark form.",The Eyes of My Mother uses a shocking trauma to fuel a hauntingly hypnotic odyssey whose nightmarish chill lingers long after the closing credits.,R,"Drama, Horror",Nicolas Pesce,Nicolas Pesce,"Kika Magalhaes, Will Brill, Flora Diaz, Paul Nazak, Clara Wong, Dianna Agostini, Olivia Bond (II)",3283.0,"This debut from Nicolas Pesce is tense and creepy, but also mannered and, ultimately, little more than pompous torture porn: a film for fans of horrible things being done to humans in artful close-up.",this debut from nicolas pesce is tense and creepy but also mannered and ultimately little more than pompous torture porn a film for fans of horrible things being done to humans in artful close up ,nicolas pesce pompous torture porn artful close horrible things little,"nicolas pesce pompous torture porn artful close horrible things little Drama, Horror"
The Five-Year Engagement,"On their one-year anniversary, sous chef Tom Solomon (Jason Segel) plans to surprise his girlfriend, Violet Barnes (Emily Blunt), with an engagement ring. The lovers do end up engaged, but the fact that the proposal does not go exactly as planned proves to be a harbinger of things to come. Each time they try to set a date, various obstacles stand in their way. As more and more time passes, Tom and Violet begin to wonder if perhaps their marriage is not meant to be.","While certainly overlong, The Five-Year Engagement benefits from the easy chemistry of its leads and a funny, romantic script with surprising depth and intelligence.",R,Comedy,Nicholas Stoller,"Nicholas Stoller, Jason Segel","Jason Segel, Emily Blunt, Chris Pratt, Alison Brie, Lauren Weedman, Mimi Kennedy, David Paymer, Jacki Weaver, Jim Piddock, Eric Scott Cooper, Rhys Ifans, Mindy Kaling, Dakota Johnson, Jane Carr, Clement von Franckenstein, Michael Ensign, Madge Levinson, Murray Miller, Ellen Grubba, Mark Rademacher, Kevin Yon, Heather Mathieson, Randall Park, Kevin Hart, Kumail Nanjiani, Wajid, Gerry Bednob, Tim Heidecker, Molly Shannon, Brian Posehn, Suzanne Kluce, Tracee Chimo, Chris Parnell, Gina Ragnone, Kenneth Small, Francesca Delbanco, Stephanie Faracy, Zoe Niemkiewicz, Tyler Hamway, Michele Messmer, Fred Lindholm, Richard Rector, Aaron Lustig, Chris Newman, Davone McDonald, Laurie Brown, Nicholas Delbanco, Corey John Fischer, Nicholas Totis",267018.0,What happens after that romantic rooftop marriage proposal that would ordinarily end a rom-com? Sadly the answer seems to be drab and not terribly interesting.,what happens after that romantic rooftop marriage proposal that would ordinarily end a rom com sadly the answer seems to be drab and not terribly interesting ,romantic rooftop marriage proposal rom com sadly interesting ordinarily,romantic rooftop marriage proposal rom com sadly interesting ordinarily Comedy
The Hangover Part III,"It's been two years since the gang known as the Wolfpack narrowly escaped disaster in Bangkok. Now, Phil (Bradley Cooper), Stu (Ed Helms) and Doug (Justin Bartha) have happy lives at home -- but Alan (Zach Galifianakis) doesn't. Still lacking contentment and a sense of purpose, Alan has gone off his meds and surrendered to his natural impulses. It's up to the other members of the Wolfpack to get him through his personal crisis by embarking on a road trip to the place it all began: Las Vegas.","Less a comedy than an angrily dark action thriller, The Hangover Part III diverges from the series' rote formula but offers nothing compelling in its place.",R,Comedy,Todd Phillips,"Todd Phillips, Craig Mazin","Bradley Cooper, Ed Helms, Zach Galifianakis, Ken Jeong, Heather Graham, Sasha Barrese, Justin Bartha, Tim Sitarz, Mike Epps, Melissa McCarthy, John Goodman, Jeffrey Tambor, Jamie Chung, Sondra Currie, Gillian Vigman, Oliver Cooper, Mike Vallely, Grant Holmquist, Oscar Torre, Jonathan Coyne, Silvia Curiel, Betty Murphy, Jim Lau, Lela Loren, Harrison Forsyth, Scott Anthony Leet, Roger Schueller, Jenny Ladner, Max Aronoff-Sher, Emma Wetzel",165788.0,"This odious, mean-spirited movie appropriates the title and the characters from the previous pictures and sends them on a would-be adventure involving gangsters, gold bars and that pinnacle of hilarity, decapitated giraffes.",this odious mean spirited movie appropriates the title and the characters from the previous pictures and sends them on a would be adventure involving gangsters gold bars and that pinnacle of hilarity decapitated giraffes ,odious mean spirited movie appropriates involving gangsters gold hilarity decapitated,odious mean spirited movie appropriates involving gangsters gold hilarity decapitated Comedy
The Happytime Murders,"Detective Phil Philips is a down-on-his-luck puppet who used to work for the Los Angeles Police Department. When two puppets from an old TV show wind up dead, Phil suspects something is afoot and rejoins the LAPD as a consultant. Reunited with Connie Edwards, his former human partner, the bickering duo soon find themselves in a race against time to protect other former cast members before the killer strikes again.",The Happytime Murders wastes its intriguingly transgressive premise on a witless comedy that blindly pushes buttons instead of attempting to tell an entertaining story.,R,"Action & Adventure, Comedy",Brian Henson,"Todd Berger, Dee Austin Robertson","Melissa McCarthy, Maya Rudolph, Joel McHale, Elizabeth Banks, Jimmy O. Yang, Leslie David Baker",2660.0,"I've been on ""Sesame Street."" I know Elmo. Cookie Monster is a friend of mine. ""Happytime Murders,"" you're no ""Sesame Street"" . . . and you're not ""Avenue Q"" either.",i ve been on sesame street i know elmo cookie monster is a friend of mine happytime murders you re no sesame street and you re not avenue q either ,sesame street know elmo cookie monster avenue q happytime murders,"sesame street know elmo cookie monster avenue q happytime murders Action & Adventure, Comedy"
The Hustle,"Josephine Chesterfield is a glamorous, seductive British woman who has a penchant for defrauding gullible men out of their money. Into her well-ordered, meticulous world comes Penny Rust, a cunning and fun-loving Australian woman who lives to swindle unsuspecting marks. Despite their different methods, the two grifters soon join forces for the ultimate score -- a young and naive tech billionaire in the South of France.","The Hustle's stars might make an effective comedy team in a different setting, but this gender-flipped remake of a remake adds little beyond its feminine twist.",PG-13,Comedy,Chris Addison,Jac Schaeffer,"Rebel Wilson, Anne Hathaway, Alex Sharp, Nicholas Woodeson, Ingrid Oliver, Douggie McMeekin, Deepak Anand, Sarah-Stephanie",3601.0,"Anne Hathaway and Rebel Wilson are clearly trying but completely flounder with a terrible screenplay that meanders from set piece to set piece...The Hustle certainly has its moments, but its hobbled by a specific miscalculation in its casting, which still makes me sad to report.Anne Hathaway detonates a megaton blast of pure unfunniness in this terrifying film. She leaves behind a mushroom cloud of anti-humour, reducing every laugh possibility to grey-white ash in a postapocalyptic landscape of horror and despair.",anne hathaway and rebel wilson are clearly trying but completely flounder with a terrible screenplay that meanders from set piece to set piece the hustle certainly has its moments but its hobbled by a specific miscalculation in its casting which still makes me sad to report anne hathaway detonates a megaton blast of pure unfunniness in this terrifying film she leaves behind a mushroom cloud of anti humour reducing every laugh possibility to grey white ash in a postapocalyptic landscape of horror and despair ,white humour anne hathaway clearly trying postapocalyptic landscape terrible mushroom,white humour anne hathaway clearly trying postapocalyptic landscape terrible mushroom Comedy
The Last Black Man in San Francisco,"Jimmie and his best friend Mont try to reclaim the house built by Jimmie's grandfather, launching them on a poignant odyssey that connects them to their past, even as it tests their friendship and sense of belonging in the place they call home.","An affecting story powerfully told, The Last Black Man in San Francisco immediately establishes director Joe Talbot as a filmmaker to watch.",R,Drama,Joe Talbot,"Joe Talbot, Rob Richert","Jimmie Fails, Jonathan Majors, Tichina Arnold, Rob Morgan, Mike Epps, Finn Wittrock, Danny Glover, Thora Birch",506.0,"Even though Talbot opts for a quasi-humorous approach to the subject matter, the comedic edge can't hide an underlying sadness about what this all means.",even though talbot opts for a quasi humorous approach to the subject matter the comedic edge can t hide an underlying sadness about what this all means ,talbot opts quasi humorous approach underlying sadness comedic edge matter,talbot opts quasi humorous approach underlying sadness comedic edge matter Drama
The Leopard,"As Garibaldi's troops begin the unification of Italy in the 1860s, an aristocratic Sicilian family grudgingly adapts to the sweeping social changes undermining their way of life. Proud but pragmatic Prince Don Fabrizio Salina (Burt Lancaster) allows his war hero nephew, Tancredi (Alain Delon), to marry Angelica (Claudia Cardinale), the beautiful daughter of gauche, bourgeois Don Calogero, in order to maintain the family's accustomed level of comfort and political clout.","Lavish and wistful, The Leopard features epic battles, sumptuous costumes, and a ballroom waltz that competes for most beautiful sequence committed to film.",PG,"Art House & International, Classics, Drama",Luchino Visconti,"Suso Cecchi d'Amico, Luchino Visconti, Enrico Medioli, Pasquale Festa Campanile, Massimo Franciosa","Burt Lancaster, Alain Delon, Claudia Cardinale, Rina Morelli, Paolo Stoppa, Romolo Valli, Serge Reggiani, Pierre Clémenti, Marino Masé, Lucilla Morlacchi, Ida Galli, Ottavia Piccolo, Carlo Valenzano, Anna-Maria Bottini, Terence Hill, Leslie French, Olimpia Cavalli, Sandra Chistolini, Brook Fuller, Giuliano Gemma, Giovanni Melisendi, Howard Nelson-Rubien, Lola Braccini, Ivo Garrani, Vittorio Duse, Alberto Carlo Lolli, Franco Gula, Giovanni Materassi, Carmelo Artale, Marie Bell, Anna Maria Surdo, Amalia Troiani, Alina Zalewska, Winni Riva, Giuseppe Spagnitti, Rosolino Bua, Dante Posani, Stelvio Rosi, Tina Lattanzi, Marcella Rovena, Rina De Liguoro, Valerio Ruggeri, Carlo Palmucci",8540.0,Two-+ hours of engrossing machinations and opulent scenery point the way to the pièce de résistance: a 45-minute gala scene that the Almighty himself would approve as a luxuriant prelude to the Rapture.,two hours of engrossing machinations and opulent scenery point the way to the pièce de résistance a 45 minute gala scene that the almighty himself would approve as a luxuriant prelude to the rapture ,engrossing machinations minute gala scene luxuriant prelude opulent scenery point,"engrossing machinations minute gala scene luxuriant prelude opulent scenery point Art House & International, Classics, Drama"
The Lords of Salem,"A radio DJ (Sheri Moon Zombie) in Salem, Mass., is plagued by nightmarish visions of vengeful witches after she plays a record by a mysterious group known only as ""The Lords.""","The Lords of Salem has lots of atmospheric portent, but it's unfortunately short on scares.",R,"Horror, Mystery & Suspense",Rob Zombie,Rob Zombie,"Sheri Moon Zombie, Bruce Dern, Bruce Davison, Bruce Davidson, Jeff Phillips, Billy Drago, Judy Geeson, Dee Wallace, Ken Foree, Maria Conchita Alonso, Michael Berryman, Meg Foster, Patricia Quinn, Richard Fancy, Andrew Prine, Christopher Knight, Sid Haig, Bonita Friedericy, Nancy Linehan Charles, Flo Lawrence, Brynn Horrocks, Suzanne Voss, Susan Gray, Torsten Voges, Niko Posey, Julian Acosta, Lisa Marie, Brandon Cruz, Gabriel Pimentel, John S., Piggy D., Roger Morrissey, Barbara Crampton, Michael Shamus Wiles, Dustin Quick, James ""Jammers"" Messersmith, Wayne Toth, Brian Rae, Ernest Thomas, Carlos DelValle, Clint Howard, Camille Keaton, Udo Kier, Richard Lynch, Daniel Roebuck",13934.0,"Rob Zombie understands horror as an aural-visual experience that should gnaw at the nerves, seep into the subconscious, and beget unshakeable nightmares.",rob zombie understands horror as an aural visual experience that should gnaw at the nerves seep into the subconscious and beget unshakeable nightmares ,zombie understands nerves seep aural visual experience nightmares,"zombie understands nerves seep aural visual experience nightmares Horror, Mystery & Suspense"
The Man Who Knew Infinity,"In 1913, brilliant East Indian mathematician Srinivasa Ramanujan (Dev Patel) travels to Trinity College in England to work with professor G.H. Hardy (Jeremy Irons).","The Man Who Knew Infinity might be a tad too conventional to truly do its subject justice, but Dev Patel and Jeremy Irons elevate the end result beyond mere biopic formula.",PG-13,"Art House & International, Drama",Matt Brown,Matt Brown,"Dev Patel, Jeremy Irons, Stephen Fry, Toby Jones, Jeremy Northam, Kevin McNally, Devika Bhise, Enzo Cilenti, Anthony Calf, Alexander Cooper, Shazad Latif, Richard Johnson, Padraic Delaney, Roman Green, Nicholas Agnew, Eleanor Inglis, Roger Narayan, Richard Cunningham, Alan Bentley, Elaine Caulfield, Arthur Wilde, Devlin Lloyd, Pat Carney, Dominic Cazenove, David Shaw Parker, Shenagh Govan, James Thomas Scott, James Francis Andrews, Thomas Bewley, Alex Bartram, Imogen Sage, Alexander Forsyth, Pip Barclay, Jon Lawes, Jack Philips, Adam Nicholas Patrick Hodge",10920.0,Slumdog Millionaire star Dev Patel has mastered looking doe-eyed and browbeaten at the same time. That's pretty much all he brings to the table in The Man Who Knew Infinity.,slumdog millionaire star dev patel has mastered looking doe eyed and browbeaten at the same time that s pretty much all he brings to the table in the man who knew infinity ,slumdog millionaire star dev patel infinity looking doe eyed,"slumdog millionaire star dev patel infinity looking doe eyed Art House & International, Drama"
The Naked Gun: From the Files of Police Squad!,"Frank Drebin (Leslie Nielsen), a rather clueless police detective, tries to foil a plot to turn innocent people into assassins through mind control. After his partner, Norberg (O.J. Simpson), is shot, Frank sets out to find the culprit, leading him to business tycoon Vincent Ludwig (Ricardo Montalban). However, Frank has no evidence until he meets Jane Spencer (Priscilla Presley), Ludwig's assistant. She knows nothing about Ludwig's devious plans, but falls for Frank and agrees to help him.","The Naked Gun is loaded chock full of gags that are goofy, unapologetically crass, and ultimately hilarious.",PG-13,Comedy,David Zucker,"Jerry Zucker, David Zucker","Leslie Nielsen, Priscilla Presley, Ricardo Montalban, George Kennedy, O.J. Simpson, Nancy Marchand, Susan Beaubian, Raye Birk, Jeannette Charles, John Houseman, Reggie Jackson, Curt Gowdy, Weird Al Yankovic, Joyce Brothers, Ken Minyard, Bob Arthur",176871.0,"The Naked Gun: From the Files of Police Squad! a gift from the crew that gave us the original Airplane! is a charmingly unstable comedy whose ""everything-but-the-kitchen-sink"" approach to shtick is downright surreal.",the naked gun from the files of police squad a gift from the crew that gave us the original airplane is a charmingly unstable comedy whose everything but the kitchen sink approach to shtick is downright surreal ,naked gun police squad charmingly unstable comedy surreal original,naked gun police squad charmingly unstable comedy surreal original Comedy
The Nut Job,"After he accidentally destroys the winter food supply of his fellow Liberty Park residents, Surly (Will Arnett), a squirrel, is banished to the streets of Oakton. Luckily, Surly finds the town's nut shop and hatches a plan to plunder its bounty. However, unbeknown to Surly and his ragtag team of animal associates, the nut shop is really a front for mobsters who plan to rob the bank next door. While Surly and his team break in to the shop, the mobsters carry out their own scheme.","Hampered by an unlikable central character and source material stretched too thin to cover its brief running time, The Nut Job will provoke an allergic reaction in all but the least demanding moviegoers.",PG,"Animation, Comedy",Peter Lepeniotis,"Lorne Cameron, Peter Lepeniotis","Will Arnett, Brendan Fraser, Liam Neeson, Katherine Heigl, Stephen Lang, Jeff Dunham, Gabriel Iglesias, Sarah Gadon, Maya Rudolph, James Rankin, Scott Yaphe, Joe Pingue, Annick Obonsawin, Julie Lemieux, Robert Tinkler, James Kee, Scott McCord, Katie Griffin, Psy",38864.0,"The tonal clangs that thwart ""The Nut Job"" are exemplified during the screwy end credits. Out of nowhere, an avatar of international pop star Psy emerges and starts dancing alongside the cast to his so-two-years-ago hit ""Gangnam Style.""",the tonal clangs that thwart the nut job are exemplified during the screwy end credits out of nowhere an avatar of international pop star psy emerges and starts dancing alongside the cast to his so two years ago hit gangnam style ,tonal clangs screwy end credits pop star psy dancing alongside,"tonal clangs screwy end credits pop star psy dancing alongside Animation, Comedy"
